"Shailesh Kushwaha","Uttar Pradesh",Unnao,3550,0.29,"Aajad Bharat Party (Democratic)",42,"12th Pass",6362500,0,"","Fair Rate vendor"
"Satish Kumar Shukla","Uttar Pradesh",Unnao,6711,0.54,"Pragatishil Samajwadi Party (Lohia)",56,"Post Graduate",8490514,360315,"","Advocate & Agriculture"
"Satyendra Nath Gaur","Uttar Pradesh",Unnao,4005,0.32,Independent,62,"12th Pass",36132000,650000,"","Business Agriculture, Pension"
Nota,"Uttar Pradesh",Unnao,11190,0.9,"None of the Above",,,,,,
"Umar Khan","Uttar Pradesh",Unnao,11123,0.9,"Nagrik Ekta Party",29,"Post Graduate",1667584,0,"",Agriculture
"Chedi Lal","Uttar Pradesh",Unnao,3090,0.25,"Bharat Prabhat Party",58,"12th Pass",13416835,0,"",Nil
"Swami Sakshi Ji Maharaj","Uttar Pradesh",Unnao,703507,56.87,"Bharatiya Janata Party",63,Doctorate,40886941,0,420|467|468|409|153A|332|295|396|397|406|506|147|53|338|504|471,"Pensioner, Agriculture, Education Institute, Donation Etc."
"Chandra Prakash Choudhary",Jharkhand,Giridih,648277,58.57,"AJSU Party",50,Graduate,13456889,1330000,426|427|447|188|34,"Social Service & Politics"
"Ahmad Ansari",Jharkhand,Giridih,1088,0.1,"Bhartiya Lokmat Rashtrwadi Party",57,Literate,290000,0,"",Business
"Rasul Baksh",Jharkhand,Giridih,10061,0.91,"Bahujan Samaj Party",64,Literate,16481200,0,307|379|147|148|149|341|323,"Pension (C.C.L Kathara Koliyari Retired)"
"Jogeshwar Thakur",Jharkhand,Giridih,1225,0.11,"Vishva SHakti Party",41,Graduate,4258200,0,506|147|342|504|353,"Agriculture & Saloon"
"Dwaraka Prasad Lala",Jharkhand,Giridih,1896,0.17,"Republican Party of India (A)",68,"10th Pass",9641678,403300,188|34,"Cultivation & Retired From Service"
"Madhu Sudan",Jharkhand,Giridih,1244,0.11,"Jharkhand Party (Secular),",63,"10th Pass",8655000,1000000,"","Agriculture, Pension"
"Chandra Deo Prasad",Jharkhand,Giridih,1650,0.15,"Aihra National Party",37,"Post Graduate",2102000,0,"",Cultivator
"Sohrab Shah",Jharkhand,Giridih,1448,0.13,"Bahujan Mukti Party",56,Literate,60000,0,"",Labour
"Rajendra Dasaundhi",Jharkhand,Giridih,1667,0.15,Independent,47,Graduate,657329,0,"",Labour
"Sanjeev Kumar Mahato",Jharkhand,Giridih,2217,0.2,Independent,39,"12th Pass",1830883,0,"","Business , Multi Level Marketing,SBI(C.S.P)"
"Simmi Suman",Jharkhand,Giridih,4173,0.38,Independent,32,"Post Graduate",10555000,5700000,"","Social Service & Private Tuiter"
"Sunita Tudu",Jharkhand,Giridih,9077,0.82,Independent,32,"Graduate Professional",16688140,1100000,"","Advocate & District Council Member"
Nota,Jharkhand,Giridih,19708,1.78,"None of the Above",,,,,,
"Shibu Singh",Jharkhand,Giridih,1206,0.11,"Bhartiya Manavadhikaar Federal Party",46,Graduate,1698452,0,"","Shibu Singh"
"Amit Jani",Jharkhand,Giridih,2051,0.19,"Uttar Pradesh Navnirman Sena",38,"Graduate Professional",6800000,1600000,153A|153B|506|295A|395|412|328|307|436|332|498A|34|120B|147|148|427|504|353|188,Business
"Jagarnath Mahto",Jharkhand,Giridih,399930,36.13,"Jharkhand Mukti Morcha",52,"10th Pass",19570591,8156343,308|328|304|147|148|149|188|323|353,"Salary, Agriculture and Business Income"
"Dayanidhi Maran","Tamil Nadu","Chennai Central",448911,57.15,"Dravida Munnetra Kazhagam",52,Graduate,116790616,0,409|467|477A|471,Salaried
"Sam Paul. S.r.","Tamil Nadu","Chennai Central",147391,18.77,"Pattali Makkal Katchi",41,"Post Graduate",299512500,4643616,"","Legal Consultant and Honorary Director of Paul System Technologies Pvt Ltd, Paulsons Beauty and Fashions Pvt Ltd, Dr Anbu Paul Hotels Pvt Ltd, Paulsons Media Pvt Ltd, Paulsons Ltd, Chairman and Managing Trustee - Sam Paul Educational Trust, Trustee - Paul"
